movie_id,title,release_date,runtime,original_language,popularity,vote_average,vote_count,genres,keywords,overview,status,budget,revenue,director_id,director_name,director_gender,director_popularity,director_department,actor1_id,actor1_name,actor1_character,actor1_gender,actor1_popularity,actor1_department,actor2_id,actor2_name,actor2_character,actor2_gender,actor2_popularity,actor2_department,actor3_id,actor3_name,actor3_character,actor3_gender,actor3_popularity,actor3_department,actor4_id,actor4_name,actor4_character,actor4_gender,actor4_popularity,actor4_department,actor5_id,actor5_name,actor5_character,actor5_gender,actor5_popularity,actor5_department,cast_pop_mean,cast_pop_max
1368166,The Housemaid,2025-12-18,131,en,426.9188,7.176,964,"['Mystery', 'Thriller']","['based on novel or book', 'psychological thriller', 'housekeeper', 'attic', 'housemaid', 'adaptation', 'mystery', 'suspense thriller', 'adultério', 'traição', 'liberdade condicional', 'sótão']","Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",Released,35000000,334411969,116805.0,Paul Feig,2.0,2.5322,Directing,115440.0,Sydney Sweeney,Millie Calloway,1.0,43.8418,Acting,71070.0,Amanda Seyfried,Nina Winchester,1.0,13.3533,Acting,1855143.0,Brandon Sklenar,Andrew Winchester,2.0,11.8903,Acting,2349355.0,Michele Morrone,Enzo,2.0,6.6631,Acting,4342318.0,Indiana Elle,Cece Winchester,1.0,3.8097,Acting,15.91164,43.8418
1084242,Zootopia 2,2025-11-26,108,en,240.148,7.6,1611,"['Animation', 'Comedy', 'Adventure', 'Family', 'Mystery']","['snake', 'bunny', 'fox', 'cop', 'sequel', 'anthropomorphism', 'animals', 'displacement', 'buddy cop', 'buddy comedy', 'complex', 'playful', 'talking animal', '3d animation', 'embarrassed', 'excited']","After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",Released,150000000,1802806721,1318201.0,Jared Bush,2.0,3.1575,Writing,417.0,Ginnifer Goodwin,Judy Hopps (voice),1.0,3.8562,Acting,23532.0,Jason Bateman,Nick Wilde (voice),2.0,8.0905,Acting,690.0,Ke Huy Quan,Gary De'Snake (voice),2.0,4.7725,Acting,1183672.0,Fortune Feimster,Nibbles Maplestick (voice),1.0,1.5519,Acting,62861.0,Andy Samberg,Pawbert Lynxley (voice),2.0,4.2169,Acting,4.4976,8.0905
1419406,The Shadow's Edge,2025-08-16,142,zh,233.4084,7.201,412,"['Action', 'Crime', 'Drama', 'Thriller']",['excited'],Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,Released,0,174400000,1452270.0,Larry Yang,2.0,1.2733,Writing,18897.0,Jackie Chan,Wong Tak Chung,2.0,23.1759,Acting,1173805.0,Zhang Zifeng,He Qiuguo,1.0,2.6994,Acting,56861.0,Tony Leung Ka-fai,Fu Longsheng,2.0,3.1754,Acting,3167855.0,Ci Sha,Simon / Xiwang,2.0,4.5369,Acting,1625880.0,Jun,Hu Feng,2.0,3.6581,Acting,7.44914,23.1759
1310568,Murder at the Embassy,2025-11-14,90,en,157.274,5.532,31,"['Mystery', 'Thriller', 'Action']","['whodunit', 'u.s. embassy', 'murder mystery']","1934. Private detective Miranda Green investigates a murder perpetrated in the British Embassy in Cairo, where a top secret document was stolen, risking to jeopardize both Buckingham Palace and the peace of the world. All those present in this closed place are suspected: the American photographer, the English student, the American actress, the Egyptian security guard, the ambassador interpreter, the Egyptian gardener and - why not? — the Ambassador himself. But who would have expected that a small group of Nazis would be behind a plot, risking to jeopardize both Buckingham Palace and the peace of the world?",Released,0,0,107794.0,Stephen Shimek,2.0,0.5966,Directing,11617.0,Mischa Barton,Miranda Green,1.0,3.1133,Acting,176227.0,Richard Dillane,Robert,2.0,1.1054,Acting,107561.0,Mido Hamada,Mamoud,2.0,1.6332,Acting,66444.0,Antonia Bernath,Betty,1.0,1.0516,Acting,3933515.0,Kojo Attah,Walter,2.0,3.4524,Acting,2.07118,3.4524
83533,Avatar: Fire and Ash,2025-12-17,198,en,144.3107,7.299,1725,"['Science Fiction', 'Adventure', 'Fantasy']","['witch', 'clone', 'space war', 'tribe', 'sequel', 'alien', 'transhumanism', 'family', 'space adventure', 'angry', 'family dynamics', 'rival', 'amused', 'disheartening']","In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",Released,350000000,1439133850,2710.0,James Cameron,2.0,5.9065,Directing,65731.0,Sam Worthington,Jake,2.0,4.8616,Acting,8691.0,Zoe Saldaña,Neytiri,1.0,7.8285,Acting,10205.0,Sigourney Weaver,Kiri,1.0,5.1636,Acting,32747.0,Stephen Lang,Quaritch,2.0,6.5447,Acting,566331.0,Oona Chaplin,Varang,1.0,2.7866,Acting,5.436999999999999,7.8285
1242898,Predator: Badlands,2025-11-05,107,en,145.5368,7.8,1847,"['Action', 'Science Fiction', 'Adventure']","['survival', 'outcast', 'alien planet', 'team up', 'audacious']","Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",Released,105000000,184561056,568322.0,Dan Trachtenberg,2.0,1.1175,Directing,18050.0,Elle Fanning,Thia / Tessa,1.0,12.3984,Acting,3223391.0,Dimitrius Schuster-Koloamatangi,Dek / Father,2.0,0.6126,Acting,1891826.0,Ravi Narayan,Bud,2.0,0.5222,Acting,2253146.0,Michael Homick,Kwei (Suit),2.0,0.3056,Acting,1636658.0,Stefan Grube,Kwei (voice),2.0,1.1003,Editing,2.98782,12.3984
1271895,96 Minutes,2025-09-05,117,zh,140.0836,5.5,36,"['Action', 'Crime', 'Romance']",[],"Former bomb disposal expert, Song Kang-Ren, and his fiancée, Huang Xin, board a high-speed train that contains a bomb. At the same time, Liu Kai, a well-known physics teacher who was involved in an affair scandal, also boards this same train in order to win back his wife, Ting Juan, who took the prior high-speed rail to return home in frustration…  After all, can the bomb be successfully defused this time? and resolve the crisis?",Released,0,0,2129398.0,Tzu-Hsuan Hung,2.0,0.7,Directing,1266721.0,Austin Lin,"Song, Ken-Ren",2.0,4.6634,Acting,1354895.0,Vivian Sung,"Huang, Xin",1.0,4.1635,Acting,966327.0,Edison Wang,"Liu, Kai",2.0,3.9205,Acting,2155170.0,Lee Lee-Zen,"Li, Jie",2.0,4.2232,Acting,1742837.0,Eleven Yao,"Yang, Ting-Juan",1.0,1.4604,Acting,3.6862000000000004,4.6634
858024,Hamnet,2025-11-26,126,en,123.6381,7.8,424,"['Drama', 'Romance', 'History']","['based on novel or book', 'grief', 'historical fiction', 'death in family', 'death of son', 'woman director', '16th century']","The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.",Released,35000000,70561705,1395183.0,Chloé Zhao,1.0,4.9583,Directing,1498158.0,Jessie Buckley,Agnes,1.0,10.1137,Acting,2326151.0,Paul Mescal,Will,2.0,3.9817,Acting,1639.0,Emily Watson,Mary,1.0,4.6361,Acting,1496392.0,Joe Alwyn,Bartholomew,2.0,2.5753,Acting,3115247.0,Jacobi Jupe,Hamnet,2.0,1.5435,Acting,4.57006,10.1137
1234731,Anaconda,2025-12-24,100,en,85.9801,5.841,540,"['Adventure', 'Comedy', 'Horror']","['snake', 'animal attack', 'amazon rainforest', 'film in film', 'jungle', 'reptile', 'anaconda', 'reboot', 'animal horror', 'meta', 'hilarious', 'amused', 'awestruck', 'bold']","A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",Released,45000000,131454208,1211000.0,Tom Gormican,2.0,2.203,Writing,70851.0,Jack Black,Doug McCallister,2.0,10.2745,Acting,22226.0,Paul Rudd,Ronald Griffin Jr.,2.0,5.3408,Acting,18324.0,Steve Zahn,Kenny Trent,2.0,4.1174,Acting,9030.0,Thandiwe Newton,Claire Simons,1.0,3.9025,Acting,1784612.0,Daniela Melchior,Ana Almeida,1.0,2.6857,Acting,5.26418,10.2745
1317288,Marty Supreme,2025-12-19,150,en,162.2118,7.7,586,['Drama'],"['new york city', 'capitalism', 'pregnancy', 'hustler', 'ping pong', 'tokyo, japan', 'pregnant woman', 'scheming', '1950s', 'dedication', 'american businessman', 'cautionary', 'table tennis', 'inspirational', 'hilarious', 'excited', 'ridiculous', 'sport', 'best picture nominee']","Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",Released,65000000,148800000,129561.0,Josh Safdie,2.0,3.3254,Directing,1190668.0,Timothée Chalamet,Marty Mauser,2.0,12.7264,Acting,12052.0,Gwyneth Paltrow,Kay Stone,1.0,5.5278,Acting,1972166.0,Odessa A'zion,Rachel Mizler,1.0,5.388,Acting,1240877.0,Kevin O'Leary,Milton Rockwell,2.0,1.6273,Acting,1133834.0,"Tyler, The Creator",Wally,2.0,1.6535,Acting,5.3846,12.7264
